Name,Brand,URL,Image,Score/Users
Imagination,Louis Vuitton,https://www.parfumo.com/Perfumes/Louis_Vuitton/imagination,https://pimages.parfumo.de/240/150441_img-3947-louis-vuitton-imagination_240.jpg,8.9 5309
Layton,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Layton,https://pimages.parfumo.de/240/71892_img-5479-parfums_de_marly-layton_240.jpg,8.6 6363
Dior Homme Intense (2011),Dior,https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Intense_2011,https://pimages.parfumo.de/240/13889_img-2650-dior-christian-dior-dior-homme-intense-2011_240.jpg,8.5 6371
Aventus,Creed,https://www.parfumo.com/Perfumes/Creed/aventus,https://pimages.parfumo.de/240/9438_img-3926-creed-aventus_eau_de_parfum_240.jpg,8.4 6420
L'Homme,Prada,https://www.parfumo.com/Perfumes/Prada/L_Homme,https://pimages.parfumo.de/240/75385_img-6062-prada-l-homme_240.jpg,8.4 5513
Reflection Man,Amouage,https://www.parfumo.com/Perfumes/Amouage/Reflection_Man,https://pimages.parfumo.de/240/2057_img-3199-amouage-reflection-man_240.jpg,8.5 4546
Spicebomb Extreme,Viktor & Rolf,https://www.parfumo.com/Perfumes/Viktor_Rolf/Spicebomb_Extreme,https://pimages.parfumo.de/240/58361_img-2805-viktor_amp_rolf-spicebomb_extreme_240.jpg,8.4 4698
La Nuit de L'Homme  Eau de Toilette,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/La_Nuit_de_L_Homme_Eau_de_Toilette,https://pimages.parfumo.de/240/1844_img-6527-yves_saint_laurent-la_nuit_de_l_homme_eau_de_toilette_240.jpg,8.4 4095
Le Mâle Le Parfum,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-male-le-parfum,https://pimages.parfumo.de/240/140714_img-4286-jean-paul-gaultier-le-male-le-parfum_240.jpg,8.4 3544
The One for Men  Eau de Parfum,Dolce & Gabbana,https://www.parfumo.com/Perfumes/Dolce_Gabbana/The_One_for_Men_Eau_de_Parfum,https://pimages.parfumo.de/240/63572_img-2026-dolce-amp-gabbana-the-one-for-men-eau-de-parfum_240.jpg,8.4 3525
Acqua di Giò Profumo  Parfum,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/Acqua_di_Gio_Profumo,https://pimages.parfumo.de/240/56294_p5vysd_acqua_di_gio_profumo_240.jpg,8.2 4202
Noir Extreme  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/noir-extreme-eau-de-parfum,https://pimages.parfumo.de/240/55810_img-3053-tom-ford-noir-extreme-eau-de-parfum_240.jpg,8.5 3218
Bleu de Chanel  Eau de Parfum,Chanel,https://www.parfumo.com/Perfumes/Chanel/Bleu_de_Chanel_Eau_de_Parfum,https://pimages.parfumo.de/240/47577_img-3175-chanel-bleu_de_chanel_eau_de_parfum_240.jpg,8.2 3966
Dior Homme Parfum,Dior,https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Parfum,https://pimages.parfumo.de/240/49599_img-5136-dior-dior-homme-parfum_240.jpg,8.7 2347
Terre d'Hermès  Eau de Toilette,Hermès,https://www.parfumo.com/Perfumes/Hermes/Terre_d_Hermes_Eau_de_Toilette,https://pimages.parfumo.de/240/2_img-9013-hermes-terre-d-hermes-eau-de-toilette_240.jpg,8.1 3854
Allure Homme Sport Eau Extrême,Chanel,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Sport_Eau_Extrme,https://pimages.parfumo.de/240/17861_img-7225-chanel-allure-homme-sport-eau-extreme_240.jpg,8.3 3312
L'Homme Idéal  Eau de Parfum,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/L_Homme_Ideal_Eau_de_Parfum,https://pimages.parfumo.de/240/72724_img-9156-guerlain-l-homme-ideal-eau-de-parfum_240.jpg,8.4 2780
Emporio Armani - Stronger with You Intensely,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-intensely,https://pimages.parfumo.de/240/120220_img-5791-giorgio_armani-emporio_armani__stronger_with_you_intensely_240.jpg,8.3 2862
Althaïr,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/althair,https://pimages.parfumo.de/240/221495_img-5348-parfums-de-marly-althair_240.jpg,8.4 2758
Allure Homme Édition Blanche  Eau de Parfum,Chanel,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Edition_Blanche_Eau_de_Parfum,https://pimages.parfumo.de/240/92586_img-8457-chanel-allure_homme_edition_blanche_eau_de_parfum_240.jpg,8.5 2265
Elysium Parfum Cologne  Eau de Parfum,Roja Parfums,https://www.parfumo.com/Perfumes/Roja_Parfums/elysium-parfum-cologne-eau-de-parfum,https://pimages.parfumo.de/240/92779_img-8091-roja_parfums-elysium_pour_homme_parfum_cologne_240.jpg,8.4 2416
Luna Rossa Black,Prada,https://www.parfumo.com/Perfumes/Prada/Luna_Rossa_Black,https://pimages.parfumo.de/240/102256_img-9978-prada-luna_rossa_black_240.jpg,8.2 2542
Sauvage Elixir,Dior,https://www.parfumo.com/Perfumes/Dior/sauvage-elixir,https://pimages.parfumo.de/240/151923_img-2346-dior-sauvage-elixir_240.jpg,8.1 2832
Jubilation XXV Man,Amouage,https://www.parfumo.com/Perfumes/Amouage/Jubilation_25_for_Men,https://pimages.parfumo.de/240/1186_img-1062-amouage-jubilation-xxv-man_240.jpg,8.3 2279
Sauvage  Eau de Toilette,Dior,https://www.parfumo.com/Perfumes/Dior/Sauvage_Eau_de_Toilette,https://pimages.parfumo.de/240/63363_img-7207-dior-sauvage_eau_de_toilette_240.jpg,7.5 5225
Le Mâle Elixir,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-male-elixir,https://pimages.parfumo.de/240/209568_img-3869-jean-paul-gaultier-le-male-elixir_240.jpg,8.3 2239
Hacivat,Nishane,https://www.parfumo.com/Perfumes/Nishane/Hacivat,https://pimages.parfumo.de/240/86705_img-4246-nishane-hacivat_240.jpg,8.2 2506
Valentino Uomo Intense (2016),Valentino,https://www.parfumo.com/Perfumes/Valentino/valentino-uomo-intense-2016,https://pimages.parfumo.de/240/73759_img-4379-valentino-valentino_uomo_intense_240.jpg,8.4 2074
Layton Exclusif,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Layton_Exclusif,https://pimages.parfumo.de/240/93535_img-7283-parfums_de_marly-layton_exclusif_240.jpg,8.3 2115
Bleu de Chanel Parfum,Chanel,https://www.parfumo.com/Perfumes/Chanel/Bleu_de_Chanel_Parfum,https://pimages.parfumo.de/240/108709_img-6551-chanel-bleu_de_chanel_parfum_240.jpg,8.3 2073
La Nuit de L'Homme Bleu Électrique,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/la-nuit-de-l-homme-bleu-electrique,https://pimages.parfumo.de/240/149747_img-2887-yves-saint-laurent-la-nuit-de-l-homme-bleu-electrique_240.jpg,8.5 1714
Ultra Mâle,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/Ultra_Male,https://pimages.parfumo.de/240/59741_g0pcy0_ultra_male_240.jpg,7.9 2843
Dior Homme Original (2011)  Eau de Toilette,Dior,https://www.parfumo.com/Perfumes/Dior/dior-homme-original-2011-eau-de-toilette,https://pimages.parfumo.de/240/13888_img-5507-dior-dior-homme-original-2011-eau-de-toilette_240.jpg,8.5 1676
L'Homme Intense,Prada,https://www.parfumo.com/Perfumes/Prada/L_Homme_Intense,https://pimages.parfumo.de/240/89094_img-8650-prada-l-homme-intense_240.jpg,8.3 1808
Le Mâle  Eau de Toilette,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/Le_Male_Eau_de_Toilette,https://pimages.parfumo.de/240/13_img-1455-jean_paul_gaultier-le_male_eau_de_toilette_240.jpg,7.6 3706
Sunrise on the Red Sand Dunes  Eau de Parfum,Zara,https://www.parfumo.com/Perfumes/Zara/sunrise-on-the-red-sand-dunes-eau-de-parfum,https://pimages.parfumo.de/240/198567_img-2851-zara-sunrise-on-the-red-sand-dunes-eau-de-parfum_240.jpg,8.1 2315
Encre Noire  Eau de Toilette,Lalique,https://www.parfumo.com/Perfumes/Lalique/Encre_Noire_Eau_de_Toilette,https://pimages.parfumo.de/240/591_qnxh5f_encre_noire_eau_de_toilette_240.jpg,7.8 3037
Versace pour Homme Dylan Blue  Eau de Toilette,Versace,https://www.parfumo.com/Perfumes/Versace/Versace_pour_Homme_Dylan_Blue_Eau_de_Toilette,https://pimages.parfumo.de/240/77407_img-6240-versace-versace_pour_homme_dylan_blue_eau_de_toilette_240.jpg,7.7 3328
Turathi (Blue),Afnan Perfumes,https://www.parfumo.com/Perfumes/Afnan_Perfumes/turathi-blue,https://pimages.parfumo.de/240/153234_img-3406-afnan-perfumes-turathi-blue_240.jpg,8.1 2109
Elysium pour Homme  Parfum,Roja Parfums,https://www.parfumo.com/Perfumes/Roja_Parfums/Elysium_pour_Homme_Parfum,https://pimages.parfumo.de/240/92852_img-6221-roja_parfums-elysium_pour_homme_parfum_240.jpg,8.9 1122
Green Irish Tweed,Creed,https://www.parfumo.com/Perfumes/Creed/Green_Irish_Tweed,https://pimages.parfumo.de/240/2317_img-7947-creed-green-irish-tweed_240.jpg,8.1 2067
Club de Nuit Intense Man  Eau de Toilette,Armaf,https://www.parfumo.com/Perfumes/Armaf/club-de-nuit-intense-man-eau-de-toilette,https://pimages.parfumo.de/240/55402_img-1659-armaf-club_de_nuit_intense_man_240.jpg,7.7 3206
Terre d'Hermès  Parfum,Hermès,https://www.parfumo.com/Perfumes/Hermes/Terre_d_Hermes_Parfum,https://pimages.parfumo.de/240/3805_img-8844-hermes-terre_d_hermes_parfum_240.jpg,8.3 1805
Fahrenheit  Eau de Toilette,Dior,https://www.parfumo.com/Perfumes/Dior/Fahrenheit_Eau_de_Toilette,https://pimages.parfumo.de/240/174_tftot4rgim_240.jpg,7.9 2445
Eros  Eau de Toilette,Versace,https://www.parfumo.com/Perfumes/Versace/Eros_Eau_de_Toilette,https://pimages.parfumo.de/240/21326_ferohj_eros_240.jpg,7.5 3636
Explorer,Montblanc,https://www.parfumo.com/Perfumes/Montblanc/Explorer,https://pimages.parfumo.de/240/118980_img-8623-montblanc-explorer_240.jpg,7.8 2593
L'Instant de Guerlain pour Homme  Eau de Parfum,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/L_Instant_de_Guerlain_pour_Homme_Eau_de_Parfum,https://pimages.parfumo.de/240/3437_img-4952-guerlain-l-instant-de-guerlain-pour-homme-eau-de-parfum_240.jpg,8.3 1609
Reflection 45,Amouage,https://www.parfumo.com/Perfumes/Amouage/reflection-45,https://pimages.parfumo.de/240/153879_img-7421-amouage-reflection-45_240.jpg,8.8 1078
Jump Up and Kiss Me Hedonistic,Clive Christian,https://www.parfumo.com/Perfumes/Clive_Christian/jump-up-and-kiss-me-hedonistic,https://pimages.parfumo.de/240/97112_img-6198-clive-christian-addictivearts-jump-up-and-kiss-me-hedonistic_240.jpg,8.9 969
Jazz Club,Maison Margiela,https://www.parfumo.com/Perfumes/Maison_Margiela/jazz-club,https://pimages.parfumo.de/240/33311_vsrj0a_replica__jazz_club_240.jpg,7.9 2306
Égoïste  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Egoiste_Eau_de_Toilette,https://pimages.parfumo.de/240/1696_img-4733-chanel-egoiste_eau_de_toilette_240.jpg,8.1 1754
Sauvage  Eau de Parfum,Dior,https://www.parfumo.com/Perfumes/Dior/Sauvage_Eau_de_Parfum,https://pimages.parfumo.de/240/102281_img-7662-dior-sauvage_eau_de_parfum_240.jpg,7.8 2354
Percival,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Percival,https://pimages.parfumo.de/240/116087_img-3568-parfums_de_marly-percival_240.jpg,7.9 1965
Sedley,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Sedley,https://pimages.parfumo.de/240/129234_img-3104-parfums_de_marly-sedley_240.jpg,8.1 1671
Club Black,Mercedes-Benz,https://www.parfumo.com/Perfumes/Mercedes_Benz/Club_Black,https://pimages.parfumo.de/240/95419_img-6577-mercedes_benz-club_black_240.jpg,8.3 1355
Acqua di Giò pour Homme  Eau de Toilette,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/Acqua_di_Gio_pour_Homme_Eau_de_Toilette,https://pimages.parfumo.de/240/39_img-3596-giorgio_armani-acqua_di_gio_pour_homme_eau_de_toilette_240.jpg,7.7 2243
Gentleman Givenchy Réserve Privée,Givenchy,https://www.parfumo.com/Perfumes/Givenchy/gentleman-givenchy-reserve-privee,https://pimages.parfumo.de/240/158077_img-4050-givenchy-gentleman-givenchy-eau-de-parfum-reserve-privee_240.jpg,8.3 1304
Y  Eau de Parfum,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Y_Eau_de_Parfum,https://pimages.parfumo.de/240/113427_img-1770-yves-saint-laurent-y-eau-de-parfum_240.jpg,7.5 2797
A*Men Pure Havane,Mugler,https://www.parfumo.com/Perfumes/mugler/AMen_Pure_Havane,https://pimages.parfumo.de/240/11781_p05w4x_amen_pure_havane_240.jpg,8.3 1333
Allure Homme Sport  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Sport_Eau_de_Toilette,https://pimages.parfumo.de/240/205_ch546ifa6u_240.jpg,7.8 1943
Bleu de Chanel  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Bleu_de_Chanel,https://pimages.parfumo.de/240/8982_img-9371-chanel-bleu_de_chanel_eau_de_toilette_240.jpg,7.6 2310
Enigma pour Homme  Parfum,Roja Parfums,https://www.parfumo.com/Perfumes/Roja_Parfums/Enigma_pour_Homme_Creation_E_pour_Homme_Parfum,https://pimages.parfumo.de/240/28770_img-6375-roja_parfums-enigma_pour_homme_creation_e_pour_homme_parfum_240.jpg,8.7 883
Bentley for Men Intense,Bentley,https://www.parfumo.com/Perfumes/Bentley/Bentley_for_Men_Intense,https://pimages.parfumo.de/240/21560_img-5466-bentley-bentley-for-men-intense_240.jpg,7.6 2217
masculin Pluriel,Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/masculin-pluriel,https://pimages.parfumo.de/240/48414_img-1217-maison-francis-kurkdjian-masculin-pluriel_240.jpg,8.2 1367
