Name,Brand,URL,Image,Score/Users
Naxos,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/naxos,https://pimages.parfumo.de/240/58692_img-1269-xerjoff-xj_1861_naxos_240.jpg,8.9 8647
Alexandria II  Parfum,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/alexandria-ii-parfum,https://pimages.parfumo.de/240/55381_img-2106-xerjoff-alexandria-ii-parfum_240.jpg,8.7 4605
Oud Wood  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/Oud_Wood_Eau_de_Parfum,https://pimages.parfumo.de/240/3840_img-6645-tom_ford-oud_wood_eau_de_parfum_240.jpg,8.5 5187
Herod,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Royal_Essence_Herod,https://pimages.parfumo.de/240/21903_img-1776-parfums-de-marly-herod_240.jpg,8.6 4398
Grand Soir,Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Grand_Soir,https://pimages.parfumo.de/240/76321_img-5647-maison_francis_kurkdjian-grand_soir_240.jpg,8.5 4481
Angels' Share,Kilian,https://www.parfumo.com/Perfumes/Kilian/angels-share,https://pimages.parfumo.de/240/142773_img-8130-kilian-angels-share_240.jpg,8.7 3433
London,Widian / AJ Arabia,https://www.parfumo.com/Perfumes/Widian/london,https://pimages.parfumo.de/240/100658_img-9848-widian-aj-arabia-sapphire-collection-london_240.jpg,9.0 2393
40 Knots,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/40-knots,https://pimages.parfumo.de/240/20666_img-6310-xerjoff-40-knots_240.jpg,8.5 3640
Tobacco Vanille  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/Tobacco_Vanille_Eau_de_Parfum,https://pimages.parfumo.de/240/3842_img-7268-tom-ford-tobacco-vanille-eau-de-parfum_240.jpg,8.3 4399
Torino21,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/torino21,https://pimages.parfumo.de/240/155148_img-7611-xerjoff-join-the-club-torino21_240.jpg,8.6 3137
Side Effect,Initio,https://www.parfumo.com/Perfumes/Initio/Side_Effect,https://pimages.parfumo.de/240/81846_img-2353-initio-side-effect_240.jpg,8.6 2866
Ombre Nomade,Louis Vuitton,https://www.parfumo.com/Perfumes/Louis_Vuitton/Ombre_Nomade,https://pimages.parfumo.de/240/109045_img-4069-louis_vuitton-ombre_nomade_240.jpg,8.2 4036
Accento,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/Accento,https://pimages.parfumo.de/240/16347_img-4803-xerjoff-accento_240.jpg,8.2 3799
Oajan,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Royal_Essence_Oajan,https://pimages.parfumo.de/240/33851_img-6293-parfums-de-marly-oajan_240.jpg,8.5 2423
Tony Iommi Monkey Special,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/tony-iommi-monkey-special,https://pimages.parfumo.de/240/156277_img-7508-xerjoff-tony-iommi-monkey-special_240.jpg,8.5 2491
Ombré Leather (2018)  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/ombre-leather-2018-eau-de-parfum,https://pimages.parfumo.de/240/112373_img-3918-tom_ford-ombre_leather_2018_240.jpg,8.3 2808
Casamorati - Lira  Eau de Parfum,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/Lira,https://pimages.parfumo.de/240/11824_img-3483-xerjoff-casamorati-lira_240.jpg,8.5 2375
Afternoon Swim,Louis Vuitton,https://www.parfumo.com/Perfumes/Louis_Vuitton/Afternoon_Swim,https://pimages.parfumo.de/240/123923_img-7281-louis-vuitton-afternoon-swim_240.jpg,8.6 2233
Lost Cherry  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/Lost_Cherry,https://pimages.parfumo.de/240/115898_img-7080-tom-ford-lost-cherry-eau-de-parfum_240.jpg,8.3 2845
Uden,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/uden,https://pimages.parfumo.de/240/4249_img-1489-xerjoff-shooting_stars__uden_240.jpg,8.6 2097
Baccarat Rouge 540  Eau de Parfum,Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Baccarat_Rouge_540_Eau_de_Parfum,https://pimages.parfumo.de/240/67720_img-6868-maison_francis_kurkdjian-baccarat_rouge_540_eau_de_parfum_240.jpg,7.8 4122
Ambre Nuit  Eau de Parfum,Dior,https://www.parfumo.com/Perfumes/Dior/ambre-nuit-eau-de-parfum,https://pimages.parfumo.de/240/4564_img-6481-dior-ambre-nuit_240.jpg,8.4 2275
Ani  Extrait de Parfum,Nishane,https://www.parfumo.com/Perfumes/Nishane/Ani,https://pimages.parfumo.de/240/128054_img-1932-nishane-ani_240.jpg,8.3 2567
Erba Pura,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/Erba_Pura,https://pimages.parfumo.de/240/24683_img-3648-xerjoff-erba_pura_240.jpg,7.6 4995
Baccarat Rouge 540  Extrait de Parfum,Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Baccarat_Rouge_540_Extrait_de_Parfum,https://pimages.parfumo.de/240/92201_img-2430-maison_francis_kurkdjian-baccarat_rouge_540_extrait_de_parfum_240.jpg,8.3 2498
Virgin Island Water,Creed,https://www.parfumo.com/Perfumes/Creed/Virgin_Island_Water,https://pimages.parfumo.de/240/1843_img-3032-creed-virgin_island_water_240.jpg,8.3 2577
Oud Satin Mood  Eau de Parfum,Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Oud_Satin_Mood_Eau_de_Parfum,https://pimages.parfumo.de/240/57947_img-4060-maison_francis_kurkdjian-oud_satin_mood_eau_de_parfum_240.jpg,8.2 2747
Oud for Greatness  Eau de Parfum,Initio,https://www.parfumo.com/Perfumes/Initio/oud-for-greatness-eau-de-parfum,https://pimages.parfumo.de/240/116727_img-3622-initio-oud-for-greatness_240.jpg,8.3 2478
Carlisle,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Carlisle,https://pimages.parfumo.de/240/67786_img-6807-parfums-de-marly-carlisle_240.jpg,8.4 2175
Wūlóng Chá  Extrait de Parfum,Nishane,https://www.parfumo.com/Perfumes/Nishane/Wlng_Cha,https://pimages.parfumo.de/240/56932_img-2975-nishane-wulong-cha_240.jpg,8.2 2421
Angélique Noire,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Angelique_Noire,https://pimages.parfumo.de/240/1761_img-4138-guerlain-angelique-noire_240.jpg,8.6 1763
Nefs,Nishane,https://www.parfumo.com/Perfumes/Nishane/Nefs,https://pimages.parfumo.de/240/128600_img-9784-nishane-nefs_240.jpg,8.9 1367
XXI: Art Deco - Blonde Amber,Clive Christian,https://www.parfumo.com/Perfumes/Clive_Christian/xxi-art-deco-blonde-amber,https://pimages.parfumo.de/240/169035_img-6593-clive-christian-noble-xxi-art-deco-blonde-amber_240.jpg,8.9 1246
Fucking Fabulous  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/Fucking_Fabulous,https://pimages.parfumo.de/240/94428_img-8570-tom_ford-fucking_fabulous_240.jpg,8.0 2827
Tuscan Leather  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/Tuscan_Leather_Eau_de_Parfum,https://pimages.parfumo.de/240/3843_img-5500-tom_ford-tuscan_leather_eau_de_parfum_240.jpg,8.3 2179
Salam,Anfas,https://www.parfumo.com/Perfumes/Anfas/Salam,https://pimages.parfumo.de/240/45855_img-3382-anfas_anfass-salam_240.jpg,8.7 1450
Khamrah,Lattafa / لطافة,https://www.parfumo.com/Perfumes/Lattafa/khamrah,https://pimages.parfumo.de/240/170634_img-7789-lattafa-khamrah_240.jpg,8.1 2468
